insight_id,category,kol_tier,kol_is_investigator,region,novelty_score,n_corroborating_notes,days_since_captured,sentiment,has_compliance_flag,insight_char_length,aligned_to_strategic_priority,selected_for_review
HIST-00055,SAFETY_TOLERABILITY,2,1,US-East,0.464,0,350,-1,0,214,1,1
HIST-00056,UNMET_NEED,3,0,US-Central,0.148,9,334,1,0,149,0,0
HIST-00057,DATA_GAP_EVIDENCE_NEED,2,1,US-West,0.692,1,343,-1,0,210,1,1
HIST-00058,COMPETITIVE_LANDSCAPE,2,0,EMEA,0.594,0,215,-1,0,209,1,0
HIST-00059,GUIDELINES_PRACTICE_PATTERNS,1,1,EMEA,0.742,4,266,-1,0,257,0,1
HIST-00060,EFFICACY_REAL_WORLD,2,0,APAC,0.094,2,201,-1,0,230,1,0
HIST-00061,DOSING_ADMINISTRATION,3,0,US-East,0.732,3,114,-1,0,181,0,1
HIST-00062,CLINICAL_TRIAL_EXPERIENCE,3,0,US-Central,0.073,4,29,-1,1,99,1,0
HIST-00063,DOSING_ADMINISTRATION,2,0,US-Central,0.124,0,376,0,0,140,0,1
HIST-00064,SAFETY_TOLERABILITY,2,0,EMEA,0.073,10,264,-1,0,103,1,0
HIST-00065,ACCESS_REIMBURSEMENT,3,0,US-East,0.209,0,348,0,0,181,0,0
HIST-00066,COMPETITIVE_LANDSCAPE,3,0,APAC,0.259,1,243,0,0,97,1,0
HIST-00067,GUIDELINES_PRACTICE_PATTERNS,1,0,US-East,0.39,6,190,0,0,234,0,0
HIST-00068,EFFICACY_REAL_WORLD,2,0,EMEA,0.236,0,366,-1,0,111,1,0
HIST-00069,DOSING_ADMINISTRATION,2,1,US-Central,0.593,1,114,1,0,209,1,0
HIST-00070,DOSING_ADMINISTRATION,2,0,US-West,0.463,2,223,0,0,138,1,0
HIST-00071,COMPETITIVE_LANDSCAPE,2,0,APAC,0.493,0,134,0,0,366,0,1
HIST-00072,SAFETY_TOLERABILITY,3,0,APAC,0.269,2,260,0,0,105,0,0
HIST-00073,COMPETITIVE_LANDSCAPE,1,1,APAC,0.345,3,118,0,0,167,1,1
HIST-00074,EFFICACY_REAL_WORLD,2,0,US-Central,0.355,1,324,0,0,180,1,0
HIST-00075,UNMET_NEED,2,0,EMEA,0.114,4,87,0,0,109,1,0
HIST-00076,SAFETY_TOLERABILITY,2,0,US-East,0.216,0,382,0,0,228,1,0
HIST-00077,COMPETITIVE_LANDSCAPE,2,0,US-East,0.368,2,251,1,0,155,1,0
HIST-00078,DATA_GAP_EVIDENCE_NEED,1,0,EMEA,0.302,0,225,-1,0,162,0,0
HIST-00079,CLINICAL_TRIAL_EXPERIENCE,3,0,EMEA,0.226,2,54,0,0,195,1,0
HIST-00080,ACCESS_REIMBURSEMENT,3,0,US-East,0.245,10,204,-1,0,194,0,0
HIST-00081,GUIDELINES_PRACTICE_PATTERNS,2,0,EMEA,0.303,3,220,1,0,183,0,0
HIST-00082,PATIENT_SELECTION_POSITIONING,3,0,APAC,0.105,0,329,1,0,229,0,0
HIST-00083,ACCESS_REIMBURSEMENT,3,0,US-West,0.249,5,202,1,0,182,0,0
HIST-00084,DATA_GAP_EVIDENCE_NEED,2,0,APAC,0.176,1,348,-1,0,231,1,0
HIST-00085,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.33,4,49,-1,0,289,1,1
HIST-00086,COMPETITIVE_LANDSCAPE,2,0,EMEA,0.097,4,339,-1,0,154,1,0
HIST-00087,ACCESS_REIMBURSEMENT,1,1,US-East,0.383,2,72,0,0,215,0,0
HIST-00088,EFFICACY_REAL_WORLD,3,0,US-Central,0.099,11,154,-1,1,237,1,0
HIST-00089,UNMET_NEED,3,0,EMEA,0.026,2,68,0,0,146,1,0
HIST-00090,DOSING_ADMINISTRATION,3,0,US-East,0.202,3,272,1,0,185,1,0
HIST-00091,DATA_GAP_EVIDENCE_NEED,3,0,US-Central,0.36,2,53,0,0,248,1,0
HIST-00092,COMPETITIVE_LANDSCAPE,2,0,US-East,0.359,0,135,-1,0,249,0,0
HIST-00093,EFFICACY_REAL_WORLD,2,0,EMEA,0.531,6,112,-1,0,179,1,1
HIST-00094,UNMET_NEED,1,1,US-East,0.31,2,289,-1,0,220,0,0
HIST-00095,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.38,0,7,-1,0,189,0,0
HIST-00096,PATIENT_SELECTION_POSITIONING,2,1,US-West,0.139,1,357,-1,0,72,1,0
HIST-00097,DOSING_ADMINISTRATION,1,1,US-Central,0.344,1,88,-1,0,133,1,0
HIST-00098,EFFICACY_REAL_WORLD,2,0,EMEA,0.155,4,264,0,0,243,0,0
HIST-00099,EFFICACY_REAL_WORLD,2,0,US-East,0.321,5,270,-1,0,94,1,0
HIST-00100,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-West,0.445,3,230,0,0,171,1,0
HIST-00101,DOSING_ADMINISTRATION,1,1,EMEA,0.293,1,350,-1,0,199,0,1
HIST-00102,ACCESS_REIMBURSEMENT,1,0,US-Central,0.341,1,59,0,0,139,1,0
HIST-00103,DOSING_ADMINISTRATION,1,0,US-West,0.358,7,45,0,0,219,1,1
HIST-00104,DIAGNOSTIC_MONITORING,3,0,EMEA,0.14,4,8,-1,0,162,1,0
HIST-00105,PATIENT_SELECTION_POSITIONING,3,0,US-West,0.454,3,312,-1,0,222,1,1
HIST-00106,CLINICAL_TRIAL_EXPERIENCE,3,0,US-East,0.373,0,366,0,0,197,1,0
HIST-00107,CLINICAL_TRIAL_EXPERIENCE,3,0,EMEA,0.099,2,388,1,0,353,0,0
HIST-00108,EFFICACY_REAL_WORLD,2,1,US-West,0.273,5,151,0,0,266,0,0
HIST-00109,PATIENT_SELECTION_POSITIONING,1,1,EMEA,0.262,1,35,1,0,195,1,0
HIST-00110,DIAGNOSTIC_MONITORING,2,1,US-West,0.024,1,237,0,0,220,0,0
HIST-00111,CLINICAL_TRIAL_EXPERIENCE,2,1,US-East,0.342,1,335,0,0,233,1,0
HIST-00112,DOSING_ADMINISTRATION,2,0,US-East,0.112,2,11,0,0,266,0,0
HIST-00113,DOSING_ADMINISTRATION,1,1,EMEA,0.174,2,199,1,0,168,1,0
HIST-00114,DIAGNOSTIC_MONITORING,1,1,US-West,0.278,0,84,-1,0,250,0,0
HIST-00115,SAFETY_TOLERABILITY,3,0,APAC,0.244,2,363,-1,0,184,0,0
HIST-00116,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-East,0.119,7,128,0,0,295,0,0
HIST-00117,CLINICAL_TRIAL_EXPERIENCE,2,1,US-East,0.071,8,285,-1,0,172,0,0
HIST-00118,COMPETITIVE_LANDSCAPE,2,0,US-Central,0.254,11,76,0,0,193,1,1
HIST-00119,PATIENT_EXPERIENCE_ADHERENCE,2,1,US-East,0.162,9,155,0,1,271,0,1
HIST-00120,DIAGNOSTIC_MONITORING,2,0,US-East,0.359,2,383,0,0,103,1,0
HIST-00121,ACCESS_REIMBURSEMENT,2,0,US-Central,0.175,3,185,0,0,171,1,0
HIST-00122,UNMET_NEED,3,0,US-East,0.18,1,64,0,0,190,0,1
HIST-00123,UNMET_NEED,3,1,US-Central,0.363,0,244,0,0,329,1,0
HIST-00124,ACCESS_REIMBURSEMENT,2,0,APAC,0.34,1,37,-1,0,167,0,1
HIST-00125,GUIDELINES_PRACTICE_PATTERNS,2,1,US-West,0.232,8,391,0,0,273,0,0
HIST-00126,UNMET_NEED,2,0,US-East,0.261,6,175,-1,0,105,1,0
HIST-00127,PATIENT_SELECTION_POSITIONING,3,1,US-East,0.044,2,203,-1,0,197,0,0
HIST-00128,ACCESS_REIMBURSEMENT,2,0,US-East,0.093,1,221,-1,0,241,0,0
HIST-00129,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.075,5,266,0,0,176,0,0
HIST-00130,CLINICAL_TRIAL_EXPERIENCE,3,0,US-East,0.234,4,14,-1,1,170,1,1
HIST-00131,DOSING_ADMINISTRATION,2,0,US-West,0.732,0,156,0,0,247,1,0
HIST-00132,SAFETY_TOLERABILITY,3,0,US-Central,0.533,10,212,-1,0,193,1,1
HIST-00133,EFFICACY_REAL_WORLD,2,0,US-East,0.119,4,341,0,0,286,0,1
HIST-00134,SAFETY_TOLERABILITY,2,1,EMEA,0.375,1,396,1,0,268,0,0
HIST-00135,CLINICAL_TRIAL_EXPERIENCE,3,0,EMEA,0.258,0,27,-1,0,161,0,0
HIST-00136,CLINICAL_TRIAL_EXPERIENCE,1,0,US-East,0.231,8,387,-1,0,108,0,0
HIST-00137,DATA_GAP_EVIDENCE_NEED,2,0,US-East,0.494,1,378,0,1,180,1,1
HIST-00138,UNMET_NEED,1,0,US-Central,0.154,2,294,0,0,319,1,0
HIST-00139,COMPETITIVE_LANDSCAPE,2,0,US-East,0.341,5,155,1,1,218,0,0
HIST-00140,COMPETITIVE_LANDSCAPE,2,0,US-East,0.456,3,132,1,0,137,0,0
HIST-00141,PATIENT_EXPERIENCE_ADHERENCE,1,1,US-West,0.238,6,364,-1,0,202,0,1
HIST-00142,UNMET_NEED,2,0,US-West,0.609,8,314,0,0,198,0,0
HIST-00143,DATA_GAP_EVIDENCE_NEED,3,1,US-East,0.486,4,168,-1,0,157,1,0
HIST-00144,DOSING_ADMINISTRATION,1,0,US-West,0.362,0,302,1,0,210,1,0
HIST-00145,EFFICACY_REAL_WORLD,3,0,EMEA,0.28,2,144,0,0,230,0,0
HIST-00146,DIAGNOSTIC_MONITORING,3,0,US-Central,0.132,1,215,0,0,170,0,0
HIST-00147,GUIDELINES_PRACTICE_PATTERNS,3,0,EMEA,0.315,0,248,-1,0,94,0,0
HIST-00148,UNMET_NEED,1,1,US-West,0.168,1,273,-1,0,350,1,0
HIST-00149,COMPETITIVE_LANDSCAPE,3,0,US-West,0.13,2,20,-1,0,286,0,0
HIST-00150,UNMET_NEED,2,0,US-East,0.179,4,309,0,0,360,1,1
HIST-00151,GUIDELINES_PRACTICE_PATTERNS,3,0,APAC,0.51,6,43,0,0,229,1,1
HIST-00152,DIAGNOSTIC_MONITORING,3,1,US-East,0.294,1,116,0,0,117,0,0
HIST-00153,CLINICAL_TRIAL_EXPERIENCE,2,0,US-West,0.185,5,318,1,0,142,1,0
HIST-00154,GUIDELINES_PRACTICE_PATTERNS,2,0,EMEA,0.187,9,32,-1,0,191,1,0
HIST-00155,CLINICAL_TRIAL_EXPERIENCE,2,0,APAC,0.448,9,224,-1,0,211,1,0
HIST-00156,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-East,0.258,1,344,1,0,248,0,0
HIST-00157,ACCESS_REIMBURSEMENT,1,1,US-East,0.392,2,198,0,0,222,1,0
HIST-00158,COMPETITIVE_LANDSCAPE,2,1,APAC,0.194,0,251,0,0,235,1,0
HIST-00159,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.156,5,49,-1,0,130,1,1
HIST-00160,UNMET_NEED,1,1,APAC,0.397,4,285,0,0,177,0,0
HIST-00161,EFFICACY_REAL_WORLD,1,1,APAC,0.269,2,141,-1,0,49,0,0
HIST-00162,DATA_GAP_EVIDENCE_NEED,1,0,US-Central,0.282,4,46,-1,0,289,0,0
HIST-00163,EFFICACY_REAL_WORLD,2,0,US-East,0.414,2,72,-1,0,235,1,0
HIST-00164,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.203,3,178,0,0,220,0,0
HIST-00165,COMPETITIVE_LANDSCAPE,1,1,APAC,0.33,1,80,1,0,188,0,0
HIST-00166,EFFICACY_REAL_WORLD,2,0,APAC,0.192,4,161,0,0,113,0,0
HIST-00167,DATA_GAP_EVIDENCE_NEED,2,0,US-East,0.14,9,83,0,0,297,1,0
HIST-00168,ACCESS_REIMBURSEMENT,2,1,EMEA,0.083,3,36,-1,0,262,0,0
HIST-00169,PATIENT_EXPERIENCE_ADHERENCE,2,0,APAC,0.555,0,389,-1,0,180,0,1
HIST-00170,GUIDELINES_PRACTICE_PATTERNS,2,1,US-East,0.249,4,336,0,0,204,1,0
HIST-00171,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.069,0,125,-1,0,257,0,0
HIST-00172,UNMET_NEED,3,0,US-Central,0.237,5,106,1,0,188,0,0
HIST-00173,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.126,6,224,0,0,260,1,0
HIST-00174,ACCESS_REIMBURSEMENT,1,1,US-East,0.314,5,146,0,0,283,0,0
HIST-00175,PATIENT_SELECTION_POSITIONING,2,0,US-East,0.635,4,90,1,0,284,0,0
HIST-00176,ACCESS_REIMBURSEMENT,3,0,US-West,0.522,0,237,1,0,278,0,0
HIST-00177,DOSING_ADMINISTRATION,1,0,US-Central,0.234,2,246,0,0,159,1,0
HIST-00178,COMPETITIVE_LANDSCAPE,3,0,EMEA,0.56,5,318,0,0,163,1,0
HIST-00179,DOSING_ADMINISTRATION,1,1,US-West,0.055,0,64,-1,0,106,1,0
HIST-00180,DATA_GAP_EVIDENCE_NEED,3,0,APAC,0.37,10,356,1,0,251,1,0
HIST-00181,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.253,2,95,0,0,241,0,0
HIST-00182,PATIENT_SELECTION_POSITIONING,3,0,US-Central,0.215,7,252,0,0,174,0,0
HIST-00183,SAFETY_TOLERABILITY,1,0,US-West,0.549,0,95,0,0,96,1,0
HIST-00184,DOSING_ADMINISTRATION,2,0,EMEA,0.149,0,273,-1,1,164,0,0
HIST-00185,DATA_GAP_EVIDENCE_NEED,2,1,APAC,0.026,4,373,0,0,188,0,0
HIST-00186,ACCESS_REIMBURSEMENT,1,1,US-Central,0.465,4,294,0,0,212,1,1
HIST-00187,DOSING_ADMINISTRATION,1,0,APAC,0.325,0,117,1,0,186,0,0
HIST-00188,DOSING_ADMINISTRATION,2,0,EMEA,0.335,3,259,0,0,186,0,0
HIST-00189,SAFETY_TOLERABILITY,1,1,EMEA,0.178,2,84,-1,0,285,1,1
HIST-00190,DATA_GAP_EVIDENCE_NEED,3,0,EMEA,0.211,0,18,1,0,194,1,0
HIST-00191,CLINICAL_TRIAL_EXPERIENCE,1,0,APAC,0.443,6,97,0,0,201,1,1
HIST-00192,CLINICAL_TRIAL_EXPERIENCE,1,1,US-Central,0.24,0,42,1,0,184,0,0
HIST-00193,PATIENT_SELECTION_POSITIONING,2,0,APAC,0.235,5,28,-1,0,137,0,0
HIST-00194,COMPETITIVE_LANDSCAPE,1,0,US-East,0.014,6,264,0,0,243,1,0
HIST-00195,DOSING_ADMINISTRATION,1,1,US-West,0.34,3,167,-1,0,191,0,1
HIST-00196,DOSING_ADMINISTRATION,3,0,EMEA,0.246,10,71,-1,0,194,0,0
HIST-00197,CLINICAL_TRIAL_EXPERIENCE,2,0,APAC,0.743,3,302,-1,0,140,0,1
HIST-00198,EFFICACY_REAL_WORLD,3,0,EMEA,0.405,8,300,1,0,159,0,0
HIST-00199,UNMET_NEED,2,1,APAC,0.308,7,359,-1,1,175,0,0
HIST-00200,PATIENT_EXPERIENCE_ADHERENCE,1,1,US-Central,0.245,0,268,0,0,290,0,0
HIST-00201,PATIENT_SELECTION_POSITIONING,2,1,US-West,0.338,10,383,-1,0,151,1,0
HIST-00202,DATA_GAP_EVIDENCE_NEED,3,0,US-West,0.05,9,113,0,0,158,0,0
HIST-00203,UNMET_NEED,1,1,EMEA,0.216,1,284,0,0,193,0,0
HIST-00204,COMPETITIVE_LANDSCAPE,3,0,US-East,0.445,4,398,1,1,205,1,0
HIST-00205,EFFICACY_REAL_WORLD,2,1,US-West,0.126,6,160,-1,1,151,0,0
HIST-00206,DOSING_ADMINISTRATION,2,0,US-East,0.25,5,332,0,0,119,1,0
HIST-00207,DATA_GAP_EVIDENCE_NEED,2,1,EMEA,0.09,11,234,0,1,102,1,1
HIST-00208,PATIENT_EXPERIENCE_ADHERENCE,1,1,US-West,0.279,6,115,0,0,216,0,0
HIST-00209,GUIDELINES_PRACTICE_PATTERNS,2,0,EMEA,0.468,0,345,0,1,195,1,0
HIST-00210,SAFETY_TOLERABILITY,2,0,APAC,0.386,4,132,1,0,219,0,0
HIST-00211,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.505,9,346,0,0,243,0,0
HIST-00212,DATA_GAP_EVIDENCE_NEED,1,0,US-East,0.214,4,345,0,0,138,0,0
HIST-00213,DATA_GAP_EVIDENCE_NEED,1,0,US-East,0.479,0,207,0,0,144,1,0
HIST-00214,DOSING_ADMINISTRATION,2,0,US-Central,0.469,3,253,-1,0,99,0,0
HIST-00215,COMPETITIVE_LANDSCAPE,1,1,US-West,0.191,4,364,0,0,270,0,0
HIST-00216,GUIDELINES_PRACTICE_PATTERNS,2,0,EMEA,0.271,4,351,0,0,229,0,0
HIST-00217,UNMET_NEED,3,0,US-West,0.274,6,128,0,0,183,1,0
HIST-00218,ACCESS_REIMBURSEMENT,1,1,US-West,0.176,1,187,-1,1,209,1,0
HIST-00219,SAFETY_TOLERABILITY,2,0,US-West,0.211,1,377,-1,0,361,0,0
HIST-00220,ACCESS_REIMBURSEMENT,2,0,US-West,0.356,6,319,0,0,194,0,0
HIST-00221,ACCESS_REIMBURSEMENT,3,0,US-East,0.151,5,318,0,0,124,0,0
HIST-00222,DIAGNOSTIC_MONITORING,3,0,US-Central,0.53,7,192,0,0,247,0,0
HIST-00223,PATIENT_EXPERIENCE_ADHERENCE,1,1,US-West,0.417,8,151,-1,0,146,0,0
HIST-00224,GUIDELINES_PRACTICE_PATTERNS,3,0,EMEA,0.562,3,357,0,0,83,1,0
HIST-00225,ACCESS_REIMBURSEMENT,3,0,US-Central,0.068,3,185,0,0,227,0,0
HIST-00226,SAFETY_TOLERABILITY,2,1,US-West,0.471,5,125,-1,0,208,0,0
HIST-00227,CLINICAL_TRIAL_EXPERIENCE,3,1,US-East,0.38,0,86,0,0,184,0,1
HIST-00228,ACCESS_REIMBURSEMENT,1,1,APAC,0.076,9,30,-1,0,182,0,1
HIST-00229,DIAGNOSTIC_MONITORING,3,0,US-East,0.12,9,275,0,0,203,1,0
HIST-00230,DATA_GAP_EVIDENCE_NEED,1,0,APAC,0.221,7,284,-1,0,124,1,0
HIST-00231,SAFETY_TOLERABILITY,2,0,EMEA,0.027,1,174,-1,0,152,0,0
HIST-00232,COMPETITIVE_LANDSCAPE,2,0,APAC,0.192,1,32,0,0,154,0,0
HIST-00233,UNMET_NEED,3,1,EMEA,0.162,5,44,0,0,133,1,0
HIST-00234,PATIENT_EXPERIENCE_ADHERENCE,1,0,US-East,0.334,2,236,0,0,291,0,0
HIST-00235,UNMET_NEED,3,0,US-Central,0.451,8,297,0,0,169,1,0
HIST-00236,PATIENT_SELECTION_POSITIONING,1,1,US-East,0.181,2,30,-1,0,195,0,1
HIST-00237,ACCESS_REIMBURSEMENT,1,1,US-East,0.113,7,196,0,0,223,1,1
HIST-00238,CLINICAL_TRIAL_EXPERIENCE,2,0,US-Central,0.128,5,238,0,0,136,1,0
HIST-00239,DIAGNOSTIC_MONITORING,3,0,US-Central,0.127,2,398,-1,0,123,1,0
HIST-00240,EFFICACY_REAL_WORLD,2,0,US-West,0.182,3,11,-1,0,96,0,0
HIST-00241,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-West,0.164,3,283,-1,0,150,0,0
HIST-00242,COMPETITIVE_LANDSCAPE,3,0,US-West,0.516,5,81,0,0,235,1,0
HIST-00243,PATIENT_SELECTION_POSITIONING,3,0,US-East,0.091,4,318,1,0,106,0,0
HIST-00244,ACCESS_REIMBURSEMENT,2,0,US-East,0.114,5,242,0,1,74,1,0
HIST-00245,PATIENT_SELECTION_POSITIONING,2,0,US-West,0.044,8,214,-1,0,329,0,0
HIST-00246,ACCESS_REIMBURSEMENT,3,1,US-West,0.658,8,324,0,0,377,1,0
HIST-00247,EFFICACY_REAL_WORLD,1,1,US-West,0.454,2,1,-1,0,138,1,0
HIST-00248,DATA_GAP_EVIDENCE_NEED,3,0,US-Central,0.149,3,223,-1,1,189,0,0
HIST-00249,SAFETY_TOLERABILITY,2,0,US-Central,0.043,6,359,-1,0,180,1,0
HIST-00250,GUIDELINES_PRACTICE_PATTERNS,2,0,APAC,0.062,8,384,-1,1,247,1,1
HIST-00251,EFFICACY_REAL_WORLD,3,0,APAC,0.142,4,7,-1,0,344,1,0
HIST-00252,CLINICAL_TRIAL_EXPERIENCE,2,0,US-East,0.151,2,118,0,0,148,0,0
HIST-00253,CLINICAL_TRIAL_EXPERIENCE,2,0,US-East,0.456,1,293,-1,0,276,0,0
HIST-00254,DATA_GAP_EVIDENCE_NEED,3,0,EMEA,0.159,4,46,0,0,271,1,0
HIST-00255,EFFICACY_REAL_WORLD,3,0,US-West,0.179,0,265,1,0,205,0,1
HIST-00256,DATA_GAP_EVIDENCE_NEED,2,1,EMEA,0.104,0,280,0,0,327,0,0
HIST-00257,SAFETY_TOLERABILITY,2,0,US-West,0.111,7,393,0,1,165,1,0
HIST-00258,DOSING_ADMINISTRATION,2,0,US-West,0.294,3,277,1,0,192,0,0
HIST-00259,PATIENT_SELECTION_POSITIONING,2,0,EMEA,0.189,0,309,1,1,86,1,0
HIST-00260,DIAGNOSTIC_MONITORING,1,0,EMEA,0.18,6,211,0,0,212,0,0
HIST-00261,CLINICAL_TRIAL_EXPERIENCE,1,0,US-Central,0.187,2,217,1,0,233,0,0
HIST-00262,EFFICACY_REAL_WORLD,2,0,US-Central,0.169,3,297,-1,0,340,0,0
HIST-00263,COMPETITIVE_LANDSCAPE,2,0,US-East,0.394,3,286,-1,0,178,0,1
HIST-00264,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.114,4,207,-1,0,220,1,0
HIST-00265,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.239,4,153,0,1,197,0,0
HIST-00266,PATIENT_EXPERIENCE_ADHERENCE,3,1,US-West,0.492,4,273,-1,0,291,1,0
HIST-00267,ACCESS_REIMBURSEMENT,3,0,APAC,0.043,6,192,-1,0,141,1,0
HIST-00268,UNMET_NEED,1,0,US-East,0.057,2,278,1,0,29,0,0
HIST-00269,UNMET_NEED,3,1,EMEA,0.467,2,380,1,0,79,1,0
