text_id,text,label,variant_group,topic_group
ARC-00197,His nurse spends about 90 minutes per new start on the authorisation paperwork. Two denials so far this,ACCESS_REIMBURSEMENT,S13-V1,S13
ARC-00181,Asked directly how it differs from ZOLVANTIS in practice. Said without a head to head he treats,COMPETITIVE_LANDSCAPE,S12-V0,S12
ARC-00161,Suggested EIM patients as teh natural population and was frustrated there is,PATIENT_SELECTION_POSITIONING,S10-V2,S10
ARC-00156,Thinks the mechanism should help the joint symptoms too. Asked if there is any EIM subgroup,PATIENT_SELECTION_POSITIONING,S10-V0,S10
ARC-00190,Wants a comparative trial. Said network meta-analyses do not move him.,COMPETITIVE_LANDSCAPE,S12-V2,S12
ARC-00490,Next steps: schedule a follow up in Q3.,LOGISTICS,NOISE-12,NOISE-12
ARC-00095,Raised comparative safety - specifically herpes zoster - and whether prophylaxis or vaccination timing differs.,SAFETY_TOLERABILITY,S06-V2,S06
ARC-00039,Flagged that the maintenance dataset ends exactly where his clinical question begins.,EFFICACY_REAL_WORLD,S02-V4,S02
ARC-00271,asked about ADA rates and whether he should be co-prescribing an immunomodulator as he would w/ infliximab.,DATA_GAP_EVIDENCE_NEED,S19-V0,S19
ARC-00001,"He said his first four patients took closer to 8 weeks before they saw meaningful symptom improvement, which surprised him given how the AURORA-1 curves look.",EFFICACY_REAL_WORLD,S01-V0,S01
ARC-00386,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00114,Complained that the IV induction means competing with oncology for infusion slots. That alone pushes him toward an oral first.,DOSING_ADMINISTRATION,S07-V1,S07
ARC-00224,His real problem is the hospitalised steroid refractory patient. Nothing in the class has data there.,UNMET_NEED,S15-V0,S15
ARC-00281,Said the HORIZON-CD scope schedule is the reason he has enrolled one patient. Four scopes in a year is a hard sell.,CLINICAL_TRIAL_EXPERIENCE,S20-V0,S20
ARC-00381,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00267,Said w/o TDM he cannot tell mechanical failure from immunogenicity when someone loses resp.,DATA_GAP_EVIDENCE_NEED,S18-V2,S18
ARC-00231,Wants to know if anyone is even thinking about an inpatient rescue,UNMET_NEED,S15-V2,S15
ARC-00397,"Walked through the mechanism of action deck, no questions.",SUMMARY_NO_INSIGHT,NOISE-08,NOISE-08
ARC-00432,Shared the published induction manuscript reprint.,SUMMARY_NO_INSIGHT,NOISE-09,NOISE-09
ARC-00015,Noted a lag between starting induction and any real clinical change; said he now counsels pts to expect two,EFFICACY_REAL_WORLD,S01-V3,S01
ARC-00097,"Commented that saw ALT rise to about 2x upper limit in two induction patients. Both normalised by week 12 without stopping, but he ordered a full hepatology work-up on the first one.",SAFETY_TOLERABILITY,S06b-V0,S06b
ARC-00164,Suggested EIM patients as the natural population and was frustrated there is,PATIENT_SELECTION_POSITIONING,S10-V2,S10
ARC-00368,Asked whether there is a patient support programme with reminders. Did not know one existed.,PATIENT_EXPERIENCE_ADHERENCE,S27-V2,S27
ARC-00159,His two best responders both had significant arthralgia that also improved. Wants to know if that is real or coincidence.,PATIENT_SELECTION_POSITIONING,S10-V1,S10
ARC-00484,He was 20 minutes late; we had about 25 minutes in total.,LOGISTICS,NOISE-02,NOISE-02
ARC-00501,"Confirmed his assistant is Marta, best route in for future scheduling.",LOGISTICS,NOISE-03,NOISE-03
ARC-00145,Said the drug sits behind two other agents in their pathway and nobody has revisited that pathway since,PATIENT_SELECTION_POSITIONING,S09-V2,S09
ARC-00466,"Confirmed his assistant is Marta, best route in for future scheduling.",LOGISTICS,NOISE-03,NOISE-03
ARC-00166,Says patients want a pill. RIMVEXA wins that conversation before efficacy is even,COMPETITIVE_LANDSCAPE,S11-V0,S11
ARC-00059,"Two patients lost response at about month 10. Asked what the options are - escalate, shorten interval, or switch.",EFFICACY_REAL_WORLD,S04-V0,S04
ARC-00282,Said the HORIZON-CD scope schedule is the reason he has enrolled one patient. Four scopes in a year is a hard sell.,CLINICAL_TRIAL_EXPERIENCE,S20-V0,S20
ARC-00253,Said endoscopic improvement is table stakes now and histologic remission is the differentiator.,DATA_GAP_EVIDENCE_NEED,S17-V2,S17
ARC-00504,"Reminded him about the advisory board invitation, he will check dates.",LOGISTICS,NOISE-06,NOISE-06
ARC-00060,"Two patients lost response at about month 10. Asked what the options are - escalate, shorten interval, or switch.",EFFICACY_REAL_WORLD,S04-V0,S04
ARC-00439,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00264,Wanted to know whetehr an assay exists and whether levels correlate with response.,DATA_GAP_EVIDENCE_NEED,S18-V1,S18
ARC-00135,Raised that requested information on management around pregnancy planning; he has two patients of childbearing age,DOSING_ADMINISTRATION,S08-V2,S08
ARC-00473,"Coffee was terrible, as usual.",LOGISTICS,NOISE-00,NOISE-00
ARC-00170,For a newly diagnosed 28 year old he reaches for the oral agent because it works fast and needs no infusion visit.,COMPETITIVE_LANDSCAPE,S11-V1,S11
ARC-00403,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00436,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00274,Immunogenicity question again - is combination therapy needed or is monotherapy sufficient?,DATA_GAP_EVIDENCE_NEED,S19-V1,S19
ARC-00062,Brought up secondary LOR. Said it feels like the same pattern he sees with anti-TNFs at the one year,EFFICACY_REAL_WORLD,S04-V1,S04
ARC-00407,He was 20 minutes late; we had about 25 minutes in total.,LOGISTICS,NOISE-02,NOISE-02
ARC-00370,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00377,"Confirmed his assistant is Marta, best route in for future scheduling.",LOGISTICS,NOISE-03,NOISE-03
ARC-00492,He asked to be removed from the newsletter distribution.,LOGISTICS,NOISE-13,NOISE-13
ARC-00425,He is travelling to the congress and offered to meet there.,SUMMARY_NO_INSIGHT,NOISE-05,NOISE-05
ARC-00030,Says he cannot position it as a long term agent until he sees OLE data past 100 weeks.,EFFICACY_REAL_WORLD,S02-V2,S02
ARC-00191,Wants a comparative trial. Said network meta-analyses do not move him.,COMPETITIVE_LANDSCAPE,S12-V2,S12
ARC-00476,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00422,He was 20 minutes late; we had about 25 minutes in total.,LOGISTICS,NOISE-02,NOISE-02
ARC-00158,His two best responders both had significant arthralgia that also improved. Wants to know if that is real or coincidence.,PATIENT_SELECTION_POSITIONING,S10-V1,S10
ARC-00378,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00194,He said that pA requires two prior advanced therapy failures at both his major payers. That is why it is,ACCESS_REIMBURSEMENT,S13-V0,S13
ARC-00391,"Confirmed his assistant is Marta, best route in for future scheduling.",LOGISTICS,NOISE-03,NOISE-03
ARC-00180,Observed that acknowledged teh JAK safety concerns but said speed of response and route still win for most of,COMPETITIVE_LANDSCAPE,S11-V3,S11
ARC-00148,Said the drug sits behind two other agents in their pathway and nobody has revisited that pathway since it was written.,PATIENT_SELECTION_POSITIONING,S09-V2,S09
ARC-00025,"Asked repeatedly about two year durability. His view is that the decision point for UC biologics is month 18, not month 12.",EFFICACY_REAL_WORLD,S02-V1,S02
ARC-00343,Guidelines drive his group. Nothing moves until the society statement moves.,GUIDELINES_PRACTICE_PATTERNS,S25-V1,S25
ARC-00287,Enrolment is stalled because of the endoscopy burden. His scheduling team cannot absorb,CLINICAL_TRIAL_EXPERIENCE,S20-V1,S20
ARC-00364,Said his no-show rate for mtx is climbing among pts in remission.,PATIENT_EXPERIENCE_ADHERENCE,S27-V1,S27
ARC-00389,"Coffee was terrible, as usual.",LOGISTICS,NOISE-00,NOISE-00
ARC-00366,Asked whether there is a patient support programme with reminders. Did not know one existed.,PATIENT_EXPERIENCE_ADHERENCE,S27-V2,S27
ARC-00008,Feels the onset is slower than advertised - his impression is 6 to 8 weeks in practice vs the week 4 numbers he remembers from the,EFFICACY_REAL_WORLD,S01-V1,S01
ARC-00080,One of his pts described the injection as stinging badly for a couple of minutes; she has developed a firm red area at the site,SAFETY_TOLERABILITY,S05-V2,S05
ARC-00311,Their pathway is calpro-driven. Wanted the correlation between calprotectin and endoscopic outcome in the trials.,DIAGNOSTIC_MONITORING,S22-V2,S22
ARC-00350,Device feedback - his pts w/ arthritis struggle w/ the activation force. asked if a different presentation is planned.,PATIENT_EXPERIENCE_ADHERENCE,S26-V1,S26
ARC-00405,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00034,"Durability came up again - he wants week 104 numbers, ideally with endoscopic outcomes not just clinical remission.",EFFICACY_REAL_WORLD,S02-V3,S02
ARC-00348,Two elderly pts cannot depress the autoinjector plunger. One gave up adn the daughter now does it.,PATIENT_EXPERIENCE_ADHERENCE,S26-V0,S26
ARC-00149,In their algorithm it is a late option. He was open to moving it earlier if there were head to head data.,PATIENT_SELECTION_POSITIONING,S09-V3,S09
ARC-00124,Said if there were a fully subcutaneous induction he would use the drug in twice as many patients.,DOSING_ADMINISTRATION,S07-V3,S07
ARC-00118,Their unit runs at capacity; adding a three-infusion induction for each new UC start is not sustainable.,DOSING_ADMINISTRATION,S07-V2,S07
ARC-00155,Thinks the mechanism should help the joint symptoms too. Asked if there is any EIM subgroup analysis.,PATIENT_SELECTION_POSITIONING,S10-V0,S10
ARC-00240,Pouch patients are invisible in all the programmes. He treats them off label with whatever he,UNMET_NEED,S16-V1,S16
ARC-00443,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00042,"In his hands the multiply-refractory patients are not responding. Bio-naive patients do well, third line and beyond much less so.",EFFICACY_REAL_WORLD,S03-V0,S03
ARC-00495,He asked to be removed from the newsletter distribution.,LOGISTICS,NOISE-13,NOISE-13
ARC-00172,For a newly diagnosed 28 year old he reaches for the oral agent because it works fast and needs no infusion visit.,COMPETITIVE_LANDSCAPE,S11-V1,S11
ARC-00288,Enrolment is stalled because of the endoscopy burden. His scheduling team cannot,CLINICAL_TRIAL_EXPERIENCE,S20-V1,S20
ARC-00494,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00023,Wanted to know what happens after year one. Said the 52 week data is fine but every biologic looks good at 52 weeks.,EFFICACY_REAL_WORLD,S02-V0,S02
ARC-00142,Positioning is post anti-TNF and post JAK in his practice. Admitted this is inertia as,PATIENT_SELECTION_POSITIONING,S09-V1,S09
ARC-00306,Said calprotectin is his de facto endpoint and asked whether it tracks with response in the AURORA data.,DIAGNOSTIC_MONITORING,S22-V1,S22
ARC-00049,Said the drug works beautifully in patients who have failed nothing and much less well in the ones he actually needs help with.,EFFICACY_REAL_WORLD,S03-V2,S03
ARC-00469,"Reminded him about the advisory board invitation, he will check dates.",LOGISTICS,NOISE-06,NOISE-06
ARC-00223,His real problem is the hospitalised steroid refractory pt. Nothing in the class has data there.,UNMET_NEED,S15-V0,S15
ARC-00187,Considers TL1A and IL-23 the same tier. Mechanism story is interesting but not decision-changing for him.,COMPETITIVE_LANDSCAPE,S12-V1,S12
ARC-00342,Guidelines drive his group. Nothing moves until the society statement moves.,GUIDELINES_PRACTICE_PATTERNS,S25-V1,S25
ARC-00411,"Walked through the mechanism of action deck, no questions.",SUMMARY_NO_INSIGHT,NOISE-08,NOISE-08
ARC-00369,"Coffee was terrible, as usual.",LOGISTICS,NOISE-00,NOISE-00
ARC-00094,Raised comparative safety - specifically herpes zoster - and whether prophylaxis or vaccination timing differs.,SAFETY_TOLERABILITY,S06-V2,S06
ARC-00427,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00251,Histology is where the field is going. He wants to see Geboes or Nancy,DATA_GAP_EVIDENCE_NEED,S17-V1,S17
ARC-00249,Histology is where the field is going. He wants to see Geboes or Nancy index data.,DATA_GAP_EVIDENCE_NEED,S17-V1,S17
ARC-00365,Asked whether there is a patient support programme with reminders. Did not know one existed.,PATIENT_EXPERIENCE_ADHERENCE,S27-V2,S27
ARC-00310,Their pathway is calpro-driven. Wanted the correlation between calprotectin and endoscopic outcome in the trials.,DIAGNOSTIC_MONITORING,S22-V2,S22
ARC-00208,Payer policy at the regional plan mandates prior anti-TNF and prior JAK failure before approval.,ACCESS_REIMBURSEMENT,S13-V3,S13
ARC-00382,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00301,He monitors with calprotectin every 12 weeks and scopes only if it rises. Endoscopy is a last resort now.,DIAGNOSTIC_MONITORING,S22-V0,S22
ARC-00006,Feels the onset is slower than advertised - his impression is 6 to 8 weeks in practice vs the week 4 numbers he remembers from the,EFFICACY_REAL_WORLD,S01-V1,S01
ARC-00424,"Walked through the mechanism of action deck, no questions.",SUMMARY_NO_INSIGHT,NOISE-08,NOISE-08
ARC-00353,Said the pen is stiff. A patient reported the cap was extremely hard to remove and she cracked it trying.,PATIENT_EXPERIENCE_ADHERENCE,S26-V2,S26
ARC-00482,He was 20 minutes late; we had about 25 minutes in total.,LOGISTICS,NOISE-02,NOISE-02
ARC-00081,Says the injection site reactions are the single biggest tolerability complaint he hears at follow-up,SAFETY_TOLERABILITY,S05-V3,S05
ARC-00305,Said calprotectin is his de facto endpoint and asked whether it tracks w/ resp in the AURORA,DIAGNOSTIC_MONITORING,S22-V1,S22
ARC-00372,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00189,Wants a comparative trial. Said network meta-analyses do not move him.,COMPETITIVE_LANDSCAPE,S12-V2,S12
ARC-00186,Considers TL1A and IL-23 the same tier. Mechanism story is interesting but not decision-changing for him.,COMPETITIVE_LANDSCAPE,S12-V1,S12
ARC-00167,Says patients want a pill. RIMVEXA wins that conversation before efficacy is even,COMPETITIVE_LANDSCAPE,S11-V0,S11
ARC-00418,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00316,Asked whether TL1A expression predicts response and whether there is a companion assay in development.,DIAGNOSTIC_MONITORING,S23-V0,S23
ARC-00260,Asked if there is a target trough. He does TDM routinely for anti-TNFs and wants to do the same here.,DATA_GAP_EVIDENCE_NEED,S18-V0,S18
ARC-00410,"Coffee was terrible, as usual.",LOGISTICS,NOISE-00,NOISE-00
ARC-00160,His two best responders both had significant arthralgia that also improved. Wants to know if that is real or coincidence.,PATIENT_SELECTION_POSITIONING,S10-V1,S10
ARC-00239,Pouch patients are invisible in all the programmes. He treats them off label with whatever he has.,UNMET_NEED,S16-V1,S16
ARC-00478,Shared the published induction manuscript reprint.,SUMMARY_NO_INSIGHT,NOISE-09,NOISE-09
ARC-00456,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00010,Main comment was about speed of response. Said patients and referring docs get anxious around week 5 when nothing has changed,EFFICACY_REAL_WORLD,S01-V2,S01
ARC-00344,Guidelines drive his group. Nothing moves until the society statement moves.,GUIDELINES_PRACTICE_PATTERNS,S25-V1,S25
ARC-00216,Said his private practice colleagues send pts to the hospital for induction b/c the buy and bill margin is negative.,ACCESS_REIMBURSEMENT,S14-V1,S14
ARC-00497,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00018,Raised that the trial response curves set an expectation of fast improvement that his own patients have,EFFICACY_REAL_WORLD,S01-V4,S01
ARC-00486,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00229,Wants to know if anyone is even thinking about an inpatient rescue study.,UNMET_NEED,S15-V2,S15
ARC-00318,Said a biomarker would change everything - he would move it first line for a,DIAGNOSTIC_MONITORING,S23-V1,S23
ARC-00103,Mentioned mild LFT bumps during induction. Not clinically significant in his view but it generates phone calls and,SAFETY_TOLERABILITY,S06b-V1,S06b
ARC-00330,"Said the pathway is the gatekeeper, not the individual physician. cannot deviate w/o",GUIDELINES_PRACTICE_PATTERNS,S24-V1,S24
ARC-00196,Said that pA requires two prior advanced therapy failures at both his major payers. That is why it is third line.,ACCESS_REIMBURSEMENT,S13-V0,S13
ARC-00395,Next steps: schedule a follow up in Q3.,LOGISTICS,NOISE-12,NOISE-12
ARC-00434,He asked to be removed from the newsletter distribution.,LOGISTICS,NOISE-13,NOISE-13
ARC-00449,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00452,Next steps: schedule a follow up in Q3.,LOGISTICS,NOISE-12,NOISE-12
ARC-00233,Asked about pouchitis. Said he has a dozen patients with chronic pouchitis and zero evidence for any,UNMET_NEED,S16-V0,S16
ARC-00488,Shared the published induction manuscript reprint.,SUMMARY_NO_INSIGHT,NOISE-09,NOISE-09
ARC-00110,Infusion capacity is his rate limiter. Says he can get approval in ten days and then wait a month,DOSING_ADMINISTRATION,S07-V0,S07
ARC-00467,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00179,Raised that acknowledged the JAK safety concerns but said speed of resp and route still win for most of his new starts.,COMPETITIVE_LANDSCAPE,S11-V3,S11
ARC-00140,"He uses it third line. When pushed on why, he said mostly because that is where the payer puts it, not because of the data.",PATIENT_SELECTION_POSITIONING,S09-V0,S09
ARC-00112,Infusion capacity is his rate limiter. Says he can get approval in ten days and then wait a month for a chair.,DOSING_ADMINISTRATION,S07-V0,S07
ARC-00004,"He said his first four patients took closer to 8 weeks before they saw meaningful symptom improvement, which surprised him given how the AURORA-1 curves look.",EFFICACY_REAL_WORLD,S01-V0,S01
ARC-00235,asked about pouchitis. Said he has a dozen pts w/ chronic pouchitis and zero evidence for any of them.,UNMET_NEED,S16-V0,S16
ARC-00132,Wanted written guidance on holding doses around elective colectomy and when,DOSING_ADMINISTRATION,S08-V1,S08
ARC-00091,Wanted a plain answer on serious infection rates versus the oral agents. Felt the label alone does not let him have that conversation.,SAFETY_TOLERABILITY,S06-V1,S06
ARC-00259,asked if there is a target trough. does TDM routinely for anti-TNFs and wants to do the same,DATA_GAP_EVIDENCE_NEED,S18-V0,S18
ARC-00105,Asked whether transient transaminitis in the first eight weeks is expected and whether he should be monitoring more or less often.,SAFETY_TOLERABILITY,S06b-V2,S06b
ARC-00423,"Walked through the mechanism of action deck, no questions.",SUMMARY_NO_INSIGHT,NOISE-08,NOISE-08
ARC-00406,"Confirmed his assistant is Marta, best route in for future scheduling.",LOGISTICS,NOISE-03,NOISE-03
ARC-00507,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00093,Raised comparative safety - specifically herpes zoster - and whether prophylaxis or vaccination timing differs.,SAFETY_TOLERABILITY,S06-V2,S06
ARC-00127,asked what to do when a pt misses two mtx doses - restart induction or resume q4w? Said the label is silent.,DOSING_ADMINISTRATION,S08-V0,S08
ARC-00272,Asked about ADA rates and whether he should be co-prescribing an immunomodulator as he would with infliximab.,DATA_GAP_EVIDENCE_NEED,S19-V0,S19
ARC-00336,Institutional protocol has not been revised since before approval so it is not in there at all.,GUIDELINES_PRACTICE_PATTERNS,S24-V2,S24
ARC-00273,Immunogenicity question again - is combination therapy needed or is monotherapy sufficient?,DATA_GAP_EVIDENCE_NEED,S19-V1,S19
ARC-00285,Enrolment is stalled because of the endoscopy burden. His scheduling team,CLINICAL_TRIAL_EXPERIENCE,S20-V1,S20
ARC-00232,Wants to know if anyone is even thinking about an inpatient,UNMET_NEED,S15-V2,S15
ARC-00300,Said his referral network has no idea what is enrolling. Referrals dried up after the last study,CLINICAL_TRIAL_EXPERIENCE,S21-V1,S21
ARC-00082,Says the injection site reactions are the single biggest tolerability complaint he hears at follow-up visits.,SAFETY_TOLERABILITY,S05-V3,S05
ARC-00477,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00096,Raised comparative safety - specifically herpes zoster - and whether prophylaxis or vaccination timing differs.,SAFETY_TOLERABILITY,S06-V2,S06
ARC-00017,Raised that the trial response curves set an expectation of fast improvement that his own patients have not matched.,EFFICACY_REAL_WORLD,S01-V4,S01
ARC-00447,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00314,asked whether TL1A expression predicts resp and whether there is a companion assay,DIAGNOSTIC_MONITORING,S23-V0,S23
ARC-00498,"Reminded him about the advisory board invitation, he will check dates.",LOGISTICS,NOISE-06,NOISE-06
ARC-00147,Said the drug sits behind two other agents in their pathway and nobody has revisited that pathway since it was written.,PATIENT_SELECTION_POSITIONING,S09-V2,S09
ARC-00037,Flagged that the mtx dataset ends exactly where his clinical q begins.,EFFICACY_REAL_WORLD,S02-V4,S02
ARC-00458,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00258,Asked if there is a target trough. He does TDM routinely for anti-TNFs and wants to do the same here.,DATA_GAP_EVIDENCE_NEED,S18-V0,S18
ARC-00032,Says he cannot position it as a long term agent until he sees OLE data past 100 weeks.,EFFICACY_REAL_WORLD,S02-V2,S02
ARC-00257,Asked if there is a target trough. He does TDM routinely for anti-TNFs and wants to do the same here.,DATA_GAP_EVIDENCE_NEED,S18-V0,S18
ARC-00460,"Walked through the mechanism of action deck, no questions.",SUMMARY_NO_INSIGHT,NOISE-08,NOISE-08
ARC-00151,In their algorithm it is a late option. He was open to moving it earlier if there were head to head data.,PATIENT_SELECTION_POSITIONING,S09-V3,S09
ARC-00315,Asked whether TL1A expression predicts response and whether there is a companion,DIAGNOSTIC_MONITORING,S23-V0,S23
ARC-00221,His real problem is the hospitalised steroid refractory patient. Nothing in the class has data there.,UNMET_NEED,S15-V0,S15
ARC-00139,"He uses it third line. When pushed on why, he said mostly because that is where the payer puts it, not because of the data.",PATIENT_SELECTION_POSITIONING,S09-V0,S09
ARC-00002,"He said his first four patients took closer to 8 weeks before they saw meaningful symptom improvement, which surprised him given how the AURORA-1 curves look.",EFFICACY_REAL_WORLD,S01-V0,S01
ARC-00502,Follow up: send him the reprint and the trial site list.,LOGISTICS,NOISE-11,NOISE-11
ARC-00236,Asked about pouchitis. Said he has a dozen patients with chronic pouchitis and zero evidence for,UNMET_NEED,S16-V0,S16
ARC-00286,Enrolment is stalled because of the endoscopy burden. His scheduling team cannot,CLINICAL_TRIAL_EXPERIENCE,S20-V1,S20
ARC-00294,Asked for a simple one page list of open studies he can hand to,CLINICAL_TRIAL_EXPERIENCE,S21-V0,S21
ARC-00073,ISRs came up unprompted. He said the label rate does not match what he is seeing and it is affecting adherence.,SAFETY_TOLERABILITY,S05-V1,S05
ARC-00324,Very interested in the predictive biomarker work presented at ECCO. Wants to know if it is,DIAGNOSTIC_MONITORING,S23-V2,S23
ARC-00421,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
